course_link,course_name,Description_1,Description_2
https://in.udacity.com/course/intro-to-ios-app-development-with-swift--ud585,Android Basics: Data Storage,NA,"In this course we will build an iPhone app that records a conversation between you and a friend, and then makes your voices sound like a Chipmunk or Darth Vader."
https://in.udacity.com/course/data-structures-and-algorithms-in-python--ud513,UX Design for Mobile Developers,NA,"Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Python. You'll review frequently-asked technical interview questions and learn how to structure your responses."
https://in.udacity.com/course/swift-for-beginners--ud1022,Intro to Inferential Statistics,NA,"In this course, you’ll begin learning Swift, Apple's programming language for building iOS applications. You'll start with fundamentals and work your way towards understanding all the core principles necessary to get started creating your first app. At the end of the course, you'll complete a problem set of exercises designed to challenge your understanding of Swift and give you the opportunity to apply what you've learned."
https://in.udacity.com/course/object-oriented-javascript--ud015,Android Basics: Networking,NA,"Have you been dabbling with JavaScript but find your files keep turning into a mess of spaghetti code? Do you find yourself copying and pasting lines of code over and over throughout your application? Surely there’s a better way, right?"
https://in.udacity.com/course/intro-to-progressive-web-apps--ud811,Object Oriented Programming in Java,NA,"In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many of the features native applications have enjoyed. You’ll also get more experience in creating a web app that works offline using Service Workers. Finally, you’ll make your app installable to the user’s home screen with the Web App Manifest file."
https://in.udacity.com/course/linear-algebra-refresher-course--ud953,Kotlin Bootcamp for Programmers,NA,This mini-course is intended for students who would like a refresher on the basics of linear algebra. The course attempts to provide the motivation for "why" linear algebra is important in addition to "what" linear algebra is.
https://in.udacity.com/course/github-collaboration--ud456,Data Analysis with R,NA,"This course covers the essentials of working with remote repositories. You'll be able to connect to a remote repository, get changes from a remote repository, and send changes to a remote repository. You'll also learn how to work collaboratively. You'll fork another developer's repository, make changes to it, and then send them a pull request. You'll also pick up some Git tips and tricks that make working with collaborators a breeze."
https://in.udacity.com/course/responsive-images--ud882,Product Design,NA,Did you know that images account for more than 60% of the bytes on average needed to load a web page?
https://in.udacity.com/course/designing-restful-apis--ud388,Computer Networking,NA,"API (Application Programming Interface) endpoints are the connections between your application and the rest of the developer community. In this course you will learn about writing secure, developer-friendly APIs that will make your back-end application thrive and keep your users happy."
https://in.udacity.com/course/intro-to-html-and-css--ud304,Firebase in a Weekend: Android,NA,"HTML and CSS are markup languages and the building blocks that make up the web. This course is called ""Not your Typical Intro"" because it does not follow the usual pattern of other courses and tutorials that you find on the Internet. Usually HTML and CSS are taught with a focus on language syntax. But knowing syntax alone does not enable you to create a webpage from a design. You need to know where to start and how to approach the task, in other words - you need to learn how to think like a front-end developer."
https://in.udacity.com/course/javascript-promises--ud898,Intro to Relational Databases,NA,"Learn how to handle asynchronous work with ease! In this course, you'll use Native JavaScript Promises to write asynchronous code that is easy to read, easy to write and easy to debug."
https://in.udacity.com/course/es6-javascript-improved--ud356,Reinforcement Learning,NA,"ECMAScript 6, or ES6, has brought about a ton of changes to the JavaScript programming language. In this course, you'll explore those changes to learn about the latest features and improvements to the language including new keywords, arrow functions, the Class syntax, Promises, and so much more. Discover how much cleaner and more concise your JavaScript code can be!"
